,status,fronds.new,fronds.old,fronds.ratio,min,species,dbh,nw.tree.01,nw.tree.02,nw.tree.03,nw.tree.04,nw.tree.05,sw.tree.06,sw.tree.07,sw.tree.08,sw.tree.09,sw.tree.10,sw.tree.11,sw.tree.12,ne.tree.13,ne.tree.14,ne.tree.15,se.tree.16,se.tree.17,sw.tree.20,sw.tree.21,sw.tree.22,sw.tree.23,sw.tree.24,sw.tree.25,se.log.01.eastTip,nw.log.02.southButt,smaller.doug.fir.log
se.deadFern.39,dead,NA,NA,NA,4.77,ACMA,60.5,45.14,59.75,77.89,76.02,76.72,44.31,54.98,63.08,59.04,61.33,70.92,65.76,18.74,23.55,16.17,4.77,19.86,31.11,28.23,36.54,40.42,35.11,41.11,39.16,66.53,14.17
se.deadFern.25,dead,NA,NA,NA,6.44,ACMA,60.5,45.47,59.84,77.99,75.61,76.21,43.01,53.37,61.58,57.73,60.24,70,64.75,20,25.26,17.75,6.44,21.26,31.48,28.63,35.2,39.9,34.89,40.64,37.54,66.26,12.42
se.deadFern.83,dead,NA,NA,NA,4.92,CWD,15,50.04,63.18,81.25,76.4,76.51,39.04,46.79,55.86,53.48,57.41,68.1,62.35,28.06,33.99,26.42,15.17,27.65,32.5,29.95,27.62,36.17,32.82,37.13,31.07,67.86,4.92
se.deadFern.62,dead,NA,NA,NA,16.92,TSME,6,64.04,77.99,96.13,91.92,92.03,53.25,57.64,67.87,67.18,72.09,83.16,77.22,37.5,38.33,33.48,22.94,24.1,18.86,16.92,21.1,21.27,17.29,22.08,40.37,83.28,19.3
se.deadFern.24,dead,NA,NA,NA,16.24,ACMA,48,65.17,79.12,97.26,93,93.09,54.12,58.23,68.53,68,73.01,84.12,78.16,38.54,39.17,34.45,24,24.57,18.28,16.47,20.63,20.15,16.24,20.95,40.09,84.38,20.29
se.deadFern.75,dead,NA,NA,NA,16.67,ACMA,48,66.11,79.75,97.86,92.99,92.95,53.17,56.49,66.96,66.84,72.17,83.46,77.4,40.26,41.45,36.43,25.69,27.2,20.23,18.63,17.99,19.45,16.67,20.39,42.09,84.59,19.92
se.deadFern.7,dead,NA,NA,NA,14.32,THPL,105,69.07,82.37,100.43,94.81,94.61,53.75,55.69,66.44,67.03,72.87,84.4,78.21,43.93,45.37,40.24,29.37,30.97,22.1,20.92,14.32,17.34,16.31,18.45,41.86,86.69,21.69
se.deadFern.67,dead,NA,NA,NA,11.66,THPL,105,70.89,83.93,101.93,95.75,95.43,53.88,54.84,65.77,66.85,73.04,84.73,78.45,46.35,48.06,42.8,31.82,33.71,24.04,23.08,11.66,16.7,17.05,17.93,41.47,87.85,22.87
se.deadFern.16,dead,NA,NA,NA,14.93,THPL,105,66.95,80.2,98.25,92.63,92.44,51.77,54.17,64.81,65.16,70.87,82.35,76.18,42.14,44.03,38.62,27.61,30.28,22.99,21.57,14.93,19.51,18.11,20.61,40.11,84.5,19.5
se.deadFern.41,dead,NA,NA,NA,15.59,CWD,15,60.12,73.98,92.12,87.94,88.08,49.8,55.12,65.07,63.91,68.52,79.46,73.59,34.17,36.01,30.53,19.61,23.43,21.75,19.5,22.58,25.23,21.27,26.07,40.02,79.26,15.59
se.deadFern.55,dead,NA,NA,NA,9.99,CWD,15,57.77,70.74,88.76,83.15,83.03,43.36,48.12,58.12,57.26,62.27,73.48,67.46,34.88,39.1,32.39,20.95,29.1,28.61,26.45,20.33,29.02,26.66,30.07,33.07,74.94,9.99
se.deadFern.51,dead,NA,NA,NA,12.42,CWD,15,61,73.64,91.58,85.26,84.98,44.13,47.34,57.71,57.63,63.22,74.69,68.53,38.62,42.72,36.12,24.68,31.94,29.18,27.29,16.6,26.99,25.67,28.14,32.82,77.34,12.42
se.deadFern.100,dead,NA,NA,NA,13.29,CWD,15,61.65,74.43,92.4,86.26,86.01,45.29,48.49,58.89,58.81,64.37,75.83,69.67,38.78,42.51,36.09,24.68,31.28,28.04,26.19,16.43,25.93,24.5,27.07,34,78.28,13.29
se.deadFern.5,dead,NA,NA,NA,12.43,THPL,105,66.71,79.49,97.45,91.04,90.7,49.23,50.86,61.62,62.34,68.38,80.02,73.77,43.25,46.09,40.18,28.91,33.24,26.58,25.17,12.43,21.42,21.11,22.63,37.09,83.2,18.29
se.deadFern.3,dead,NA,NA,NA,12.05,THPL,105,66.18,78.78,96.71,90.03,89.64,47.96,49.44,60.21,61,67.12,78.8,72.52,43.29,46.52,40.41,29.07,34.12,27.97,26.52,12.05,22.62,22.51,23.85,35.71,82.29,17.53
se.deadFern.82,dead,NA,NA,NA,11.98,THPL,105,65.57,78,95.88,88.97,88.54,46.68,48.06,58.84,59.67,65.85,77.56,71.27,43.22,46.84,40.52,29.13,34.89,29.26,27.77,11.98,23.87,23.88,25.11,34.36,81.32,16.75
se.deadFern.26,dead,NA,NA,NA,12.01,THPL,105,64.9,77.08,94.91,87.66,87.17,45.03,46.22,57.01,57.93,64.2,75.97,69.65,43.33,47.45,40.88,29.45,36.08,31.05,29.51,12.01,25.5,25.71,26.77,32.57,80.14,15.95
se.deadFern.89,dead,NA,NA,NA,10.29,THPL,105,66.59,77.97,95.56,87.07,86.31,43,42.3,53.35,55.16,62.1,74.12,67.65,46.99,51.95,45.02,33.58,41.25,35.96,34.55,10.29,28.26,29.7,29.6,29.58,80.07,17.97
se.deadFern.70,dead,NA,NA,NA,13.64,THPL,105,62.97,74.6,92.28,84.34,83.73,41.13,42.12,52.87,53.86,60.29,72.14,65.77,43.2,48.42,41.34,29.93,38.44,34.89,33.23,13.64,29.47,29.84,30.76,28.46,77.09,14.2
se.deadFern.13,dead,NA,NA,NA,8.48,CWD,15,57.43,69.46,87.28,80.26,79.88,38.72,42.41,52.58,52.25,57.81,69.32,63.14,37.43,43.14,35.79,24.45,34.58,34.13,32.09,19.16,32.22,31.08,33.4,27.6,72.59,8.48
se.deadFern.80,dead,NA,NA,NA,17.49,THPL,105,64.44,74.21,91.23,80.83,79.7,35.23,32.67,43.84,46.38,54,66.24,59.64,49.37,56.39,48.6,37.55,48.26,45.28,43.69,17.49,37.68,39.4,39.04,20.88,74.71,19.33
se.deadFern.84,dead,NA,NA,NA,18,THPL,105,67.44,76.72,93.49,82.31,80.99,36.09,31.37,42.75,46.29,54.46,66.81,60.15,53.16,60.25,52.45,41.41,51.93,48.11,46.66,18,39.13,41.55,40.51,21.25,76.6,23.15
se.deadFern.88,dead,NA,NA,NA,3.65,CWD,15,45.5,57.63,75.54,69.6,69.55,31.82,40.83,49.32,46.35,50.09,60.78,55.02,28.18,36.59,28.18,18.21,33.52,39.83,37.26,31.06,42.58,39.84,43.63,25,61.39,3.65
