Photo file Name,Date,Time,Direction,Latitude,Longitude,Position Accuracy,Altitude,Datum,Capture Mode Detail,Project Name,Photo Description,Watermark
Test 1 (2020-01-19 14.50.06)-30,19 Jan 2020,14:50:6,329,47.560636°,-122.254071° ,±52ft,16.997322,WGS 84,Bearing: 329° NW,Test 1,At hone,Your Watermark - See Settings
Test 1 (2020-01-19 14.50.10)-92,19 Jan 2020,14:50:10,61,47.560610°,-122.254055° ,±52ft,17.277319,WGS 84,Bearing: 61° NE,Test 1,At hone,Your Watermark - See Settings
Test 1 (2020-01-19 14.50.19)-150,19 Jan 2020,14:50:19,258,47.560566°,-122.254045° ,±104ft,17.646393,WGS 84,Bearing: 258° W,Test 1,At hone,Your Watermark - See Settings
Test 1 (2020-01-19 14.50.22)-69,19 Jan 2020,14:50:22,346,47.560572°,-122.254040° ,±104ft,17.621346,WGS 84,Bearing: 346° N,Test 1,At hone,Your Watermark - See Settings
Test 1 (2020-01-19 14.50.25)-201,19 Jan 2020,14:50:25,81,47.560569°,-122.254025° ,±104ft,17.705721,WGS 84,Bearing: 81° E,Test 1,At hone,Your Watermark - See Settings
Test 1 (2020-01-19 14.50.38)-93,19 Jan 2020,14:50:38,155,47.560557°,-122.254008° ,±104ft,17.867048,WGS 84,Bearing: 155° SE,Test 1,At hone,Your Watermark - See Settings
Test 1 (2020-01-19 14.50.51)-224,19 Jan 2020,14:50:51,326,47.560577°,-122.254071° ,±104ft,17.513966,WGS 84,Bearing: 326° NW,Test 1,At hone,Your Watermark - See Settings
Test 1 (2020-01-19 14.51.42)-80,19 Jan 2020,14:51:42,4,47.560694°,-122.253754° ,±104ft,17.238762,WGS 84,Bearing: 4° N,Test 1,At hone,Your Watermark - See Settings
Test 1 (2020-01-19 14.51.58)-4,19 Jan 2020,14:51:58,323,47.560647°,-122.253699° ,±104ft,17.630482,WGS 84,Bearing: 323° NW,Test 1,At hone,Your Watermark - See Settings
Test 1 (2020-01-19 14.52.04)-157,19 Jan 2020,14:52:4,280,47.560640°,-122.253717° ,±104ft,17.682518,WGS 84,Bearing: 280° W,Test 1,At hone,Your Watermark - See Settings
Test 1 (2020-01-19 14.52.35)-162,19 Jan 2020,14:52:35,21,47.560658°,-122.253684° ,±104ft,17.529177,WGS 84,Bearing: 21° N,Test 1,At hone,Your Watermark - See Settings
Test 1 (2020-01-19 14.52.39)-57,19 Jan 2020,14:52:39,98,47.560643°,-122.253711° ,±104ft,17.666573,WGS 84,Bearing: 98° E,Test 1,At hone,Your Watermark - See Settings
Test 1 (2020-01-19 14.52.45)-41,19 Jan 2020,14:52:45,52,47.560627°,-122.253674° ,±104ft,17.747759,WGS 84,Bearing: 52° NE,Test 1,At hone,Your Watermark - See Settings
Test 1 (2020-01-19 14.52.51)-133,19 Jan 2020,14:52:51,98,47.560621°,-122.253648° ,±104ft,17.761042,WGS 84,Bearing: 98° E,Test 1,At hone,Your Watermark - See Settings
Test 1 (2020-01-19 14.52.55)-250,19 Jan 2020,14:52:55,85,47.560557°,-122.253685° ,±157ft,13.427961,WGS 84,Bearing: 85° E,Test 1,At hone,Your Watermark - See Settings
Test 1 (2020-01-19 14.53.00)-178,19 Jan 2020,14:53:0,75,47.560480°,-122.253729° ,±104ft,18.838860,WGS 84,Bearing: 75° E,Test 1,At hone,Your Watermark - See Settings
Test 1 (2020-01-19 14.53.09)-95,19 Jan 2020,14:53:9,100,47.560463°,-122.253708° ,±157ft,15.351055,WGS 84,Bearing: 100° E,Test 1,At hone,Your Watermark - See Settings
Test 1 (2020-01-19 14.53.13)-139,19 Jan 2020,14:53:13,189,47.560480°,-122.253692° ,±104ft,18.973509,WGS 84,Bearing: 189° S,Test 1,At hone,Your Watermark - See Settings
Test 1 (2020-01-19 14.53.17)-94,19 Jan 2020,14:53:17,180,47.560512°,-122.253727° ,±104ft,18.724171,WGS 84,Bearing: 180° S,Test 1,At hone,Your Watermark - See Settings
Test 1 (2020-01-19 14.53.23)-180,19 Jan 2020,14:53:23,41,47.560564°,-122.253811° ,±104ft,18.335047,WGS 84,Bearing: 41° NE,Test 1,At hone,Your Watermark - See Settings
Test 1 (2020-01-19 14.53.35)-73,19 Jan 2020,14:53:35,16,47.560512°,-122.253967° ,±104ft,18.315752,WGS 84,Bearing: 16° N,Test 1,At hone,Your Watermark - See Settings
Test 1 (2020-01-19 14.53.40)-66,19 Jan 2020,14:53:40,340,47.560499°,-122.254046° ,±104ft,18.060934,WGS 84,Bearing: 340° N,Test 1,At hone,Your Watermark - See Settings
Test 1 (2020-01-19 14.53.43)-48,19 Jan 2020,14:53:43,38,47.560491°,-122.254070° ,±104ft,17.968317,WGS 84,Bearing: 38° NE,Test 1,At hone,Your Watermark - See Settings
Test 1 (2020-01-19 14.54.14)-44,19 Jan 2020,14:54:14,26,47.560570°,-122.253606° ,±104ft,10.107720,WGS 84,Bearing: 26° NE,Test 1,At hone,Your Watermark - See Settings
Test 1 (2020-01-19 14.54.29)-212,19 Jan 2020,14:54:29,310,47.560490°,-122.253541° ,±104ft,18.899595,WGS 84,Bearing: 310° NW,Test 1,At hone,Your Watermark - See Settings
Test 1 (2020-01-19 14.54.37)-98,19 Jan 2020,14:54:37,271,47.560354°,-122.253369° ,±104ft,20.165260,WGS 84,Bearing: 271° W,Test 1,At hone,Your Watermark - See Settings
Test 1 (2020-01-19 14.54.40)-100,19 Jan 2020,14:54:40,19,47.560277°,-122.253330° ,±104ft,20.948782,WGS 84,Bearing: 19° N,Test 1,At hone,Your Watermark - See Settings
Test 1 (2020-01-19 14.54.46)-47,19 Jan 2020,14:54:46,214,47.560232°,-122.253363° ,±104ft,21.765459,WGS 84,Bearing: 214° SW,Test 1,At hone,Your Watermark - See Settings
Test 1 (2020-01-19 14.54.52)-158,19 Jan 2020,14:54:52,120,47.560219°,-122.253306° ,±104ft,21.978384,WGS 84,Bearing: 120° SE,Test 1,At hone,Your Watermark - See Settings
Test 1 (2020-01-19 14.54.55)-101,19 Jan 2020,14:54:55,119,47.560238°,-122.253305° ,±104ft,21.789951,WGS 84,Bearing: 119° SE,Test 1,At hone,Your Watermark - See Settings
Test 1 (2020-01-19 14.54.58)-187,19 Jan 2020,14:54:58,136,47.560253°,-122.253297° ,±104ft,21.650232,WGS 84,Bearing: 136° SE,Test 1,At hone,Your Watermark - See Settings
Test 1 (2020-01-19 14.55.03)-14,19 Jan 2020,14:55:3,225,47.560278°,-122.253328° ,±104ft,21.302763,WGS 84,Bearing: 225° SW,Test 1,At hone,Your Watermark - See Settings
Test 1 (2020-01-19 14.55.08)-240,19 Jan 2020,14:55:8,285,47.560312°,-122.253343° ,±104ft,21.125601,WGS 84,Bearing: 285° W,Test 1,At hone,Your Watermark - See Settings
Test 1 (2020-01-19 14.55.11)-239,19 Jan 2020,14:55:11,87,47.560342°,-122.253334° ,±104ft,20.685272,WGS 84,Bearing: 87° E,Test 1,At hone,Your Watermark - See Settings
Test 1 (2020-01-19 14.55.24)-227,19 Jan 2020,14:55:24,212,47.560395°,-122.253303° ,±104ft,20.203253,WGS 84,Bearing: 212° SW,Test 1,At hone,Your Watermark - See Settings
Test 1 (2020-01-19 14.55.28)-58,19 Jan 2020,14:55:28,193,47.560449°,-122.253341° ,±104ft,19.535709,WGS 84,Bearing: 193° S,Test 1,At hone,Your Watermark - See Settings
Test 1 (2020-01-19 14.55.31)-183,19 Jan 2020,14:55:31,156,47.560458°,-122.253355° ,±104ft,19.371080,WGS 84,Bearing: 156° SE,Test 1,At hone,Your Watermark - See Settings
Test 1 (2020-01-19 14.55.33)-105,19 Jan 2020,14:55:33,157,47.560466°,-122.253375° ,±104ft,19.307175,WGS 84,Bearing: 157° SE,Test 1,At hone,Your Watermark - See Settings
Test 1 (2020-01-19 14.56.00)-131,19 Jan 2020,14:56:0,282,47.560561°,-122.253397° ,±104ft,18.232199,WGS 84,Bearing: 282° W,Test 1,At hone,Your Watermark - See Settings
Test 1 (2020-01-19 14.56.06)-186,19 Jan 2020,14:56:6,7,47.560542°,-122.253402° ,±104ft,18.412010,WGS 84,Bearing: 7° N,Test 1,At hone,Your Watermark - See Settings
Test 1 (2020-01-19 14.56.38)-7,19 Jan 2020,14:56:38,40,47.560579°,-122.253290° ,±104ft,18.332214,WGS 84,Bearing: 40° NE,Test 1,At hone,Your Watermark - See Settings
Test 1 (2020-01-19 14.56.41)-163,19 Jan 2020,14:56:41,69,47.560657°,-122.253294° ,±104ft,17.891514,WGS 84,Bearing: 69° E,Test 1,At hone,Your Watermark - See Settings
Test 1 (2020-01-19 14.56.48)-138,19 Jan 2020,14:56:48,86,47.560879°,-122.253294° ,±104ft,16.205097,WGS 84,Bearing: 86° E,Test 1,At hone,Your Watermark - See Settings
Test 1 (2020-01-19 14.56.51)-34,19 Jan 2020,14:56:51,34,47.560933°,-122.253247° ,±104ft,15.623809,WGS 84,Bearing: 34° NE,Test 1,At hone,Your Watermark - See Settings
Test 1 (2020-01-19 14.56.55)-77,19 Jan 2020,14:56:55,82,47.560952°,-122.253173° ,±104ft,15.461183,WGS 84,Bearing: 82° E,Test 1,At hone,Your Watermark - See Settings
