Photo file Name,Date,Time,Direction,Latitude,Longitude,Position Accuracy,Altitude,Datum,Capture Mode Detail,Project Name,Photo Description,Watermark
Test 1 (2020-01-26 14.50.38)-3,26 Jan 2020,14:50:38,62,47.560840°,-122.251719° ,±52ft,24.116642,WGS 84,Bearing: 62° NE,Test 1,At hone,Your Watermark - See Settings
Test 1 (2020-01-26 14.51.28)-27,26 Jan 2020,14:51:28,300,47.560907°,-122.251566° ,±52ft,24.176825,WGS 84,Bearing: 300° NW,Test 1,At hone,Your Watermark - See Settings
Test 1 (2020-01-26 14.51.50)-118,26 Jan 2020,14:51:50,244,47.560982°,-122.251657° ,±52ft,23.286482,WGS 84,Bearing: 244° SW,Test 1,At hone,Your Watermark - See Settings
Test 1 (2020-01-26 14.52.00)-85,26 Jan 2020,14:52:0,63,47.561044°,-122.251672° ,±52ft,22.789848,WGS 84,Bearing: 63° NE,Test 1,At hone,Your Watermark - See Settings
Test 1 (2020-01-26 14.52.13)-5,26 Jan 2020,14:52:13,217,47.561090°,-122.251648° ,±52ft,22.542833,WGS 84,Bearing: 217° SW,Test 1,At hone,Your Watermark - See Settings
Test 1 (2020-01-26 14.52.22)-32,26 Jan 2020,14:52:22,17,47.561089°,-122.251645° ,±52ft,22.515764,WGS 84,Bearing: 17° N,Test 1,At hone,Your Watermark - See Settings
Test 1 (2020-01-26 14.52.30)-57,26 Jan 2020,14:52:30,40,47.561110°,-122.251575° ,±52ft,22.585148,WGS 84,Bearing: 40° NE,Test 1,At hone,Your Watermark - See Settings
Test 1 (2020-01-26 14.52.55)-105,26 Jan 2020,14:52:55,171,47.560979°,-122.251654° ,±52ft,23.375238,WGS 84,Bearing: 171° S,Test 1,At hone,Your Watermark - See Settings
Test 1 (2020-01-26 14.53.01)-2,26 Jan 2020,14:53:1,270,47.561021°,-122.251653° ,±52ft,22.987558,WGS 84,Bearing: 270° W,Test 1,At hone,Your Watermark - See Settings
Test 1 (2020-01-26 14.53.15)-29,26 Jan 2020,14:53:15,217,47.561000°,-122.251663° ,±52ft,23.143730,WGS 84,Bearing: 217° SW,Test 1,At hone,Your Watermark - See Settings
Test 1 (2020-01-26 14.53.18)-75,26 Jan 2020,14:53:18,276,47.561012°,-122.251683° ,±52ft,22.988274,WGS 84,Bearing: 276° W,Test 1,At hone,Your Watermark - See Settings
Test 1 (2020-01-26 14.53.29)-123,26 Jan 2020,14:53:29,90,47.561030°,-122.251625° ,±52ft,23.012960,WGS 84,Bearing: 90° E,Test 1,At hone,Your Watermark - See Settings
Test 1 (2020-01-26 14.53.36)-98,26 Jan 2020,14:53:36,342,47.561051°,-122.251608° ,±52ft,22.949572,WGS 84,Bearing: 342° N,Test 1,At hone,Your Watermark - See Settings
Test 1 (2020-01-26 14.53.45)-89,26 Jan 2020,14:53:45,345,47.561090°,-122.251594° ,±52ft,22.706213,WGS 84,Bearing: 345° N,Test 1,At hone,Your Watermark - See Settings
Test 1 (2020-01-26 14.53.49)-49,26 Jan 2020,14:53:49,301,47.561095°,-122.251594° ,±52ft,22.689209,WGS 84,Bearing: 301° NW,Test 1,At hone,Your Watermark - See Settings
Test 1 (2020-01-26 14.53.52)-78,26 Jan 2020,14:53:52,259,47.561100°,-122.251604° ,±52ft,22.651863,WGS 84,Bearing: 259° W,Test 1,At hone,Your Watermark - See Settings
Test 1 (2020-01-26 14.53.58)-34,26 Jan 2020,14:53:58,314,47.561109°,-122.251636° ,±52ft,22.446999,WGS 84,Bearing: 314° NW,Test 1,At hone,Your Watermark - See Settings
Test 1 (2020-01-26 14.54.13)-80,26 Jan 2020,14:54:13,238,47.561112°,-122.251746° ,±52ft,22.018888,WGS 84,Bearing: 238° SW,Test 1,At hone,Your Watermark - See Settings
Test 1 (2020-01-26 14.54.18)-88,26 Jan 2020,14:54:18,106,47.561111°,-122.251769° ,±52ft,21.963110,WGS 84,Bearing: 106° E,Test 1,At hone,Your Watermark - See Settings
Test 1 (2020-01-26 14.54.22)-48,26 Jan 2020,14:54:22,116,47.561106°,-122.251730° ,±52ft,22.061153,WGS 84,Bearing: 116° SE,Test 1,At hone,Your Watermark - See Settings
Test 1 (2020-01-26 14.54.35)-109,26 Jan 2020,14:54:35,144,47.561075°,-122.251696° ,±52ft,22.451962,WGS 84,Bearing: 144° SE,Test 1,At hone,Your Watermark - See Settings
Test 1 (2020-01-26 14.54.38)-23,26 Jan 2020,14:54:38,181,47.561078°,-122.251692° ,±52ft,22.414009,WGS 84,Bearing: 181° S,Test 1,At hone,Your Watermark - See Settings
Test 1 (2020-01-26 14.54.43)-113,26 Jan 2020,14:54:43,103,47.561079°,-122.251664° ,±52ft,22.527130,WGS 84,Bearing: 103° E,Test 1,At hone,Your Watermark - See Settings
Test 1 (2020-01-26 14.54.47)-86,26 Jan 2020,14:54:47,179,47.561083°,-122.251652° ,±52ft,22.564463,WGS 84,Bearing: 179° S,Test 1,At hone,Your Watermark - See Settings
Test 1 (2020-01-26 14.54.58)-69,26 Jan 2020,14:54:58,207,47.561090°,-122.251720° ,±52ft,22.317194,WGS 84,Bearing: 207° SW,Test 1,At hone,Your Watermark - See Settings
Test 1 (2020-01-26 14.55.10)-100,26 Jan 2020,14:55:10,121,47.561060°,-122.251745° ,±52ft,22.356371,WGS 84,Bearing: 121° SE,Test 1,At hone,Your Watermark - See Settings
Test 1 (2020-01-26 14.55.13)-41,26 Jan 2020,14:55:13,65,47.561034°,-122.251757° ,±52ft,22.437206,WGS 84,Bearing: 65° NE,Test 1,At hone,Your Watermark - See Settings
Test 1 (2020-01-26 14.55.16)-20,26 Jan 2020,14:55:16,152,47.561037°,-122.251742° ,±52ft,22.564409,WGS 84,Bearing: 152° SE,Test 1,At hone,Your Watermark - See Settings
Test 1 (2020-01-26 14.55.23)-18,26 Jan 2020,14:55:23,198,47.561035°,-122.251736° ,±52ft,22.535074,WGS 84,Bearing: 198° S,Test 1,At hone,Your Watermark - See Settings
Test 1 (2020-01-26 14.55.53)-63,26 Jan 2020,14:55:53,310,47.561106°,-122.251718° ,±52ft,22.219110,WGS 84,Bearing: 310° NW,Test 1,At hone,Your Watermark - See Settings
Test 1 (2020-01-26 14.55.58)-40,26 Jan 2020,14:55:58,325,47.561113°,-122.251732° ,±52ft,22.053740,WGS 84,Bearing: 325° NW,Test 1,At hone,Your Watermark - See Settings
Test 1 (2020-01-26 14.56.05)-1,26 Jan 2020,14:56:5,324,47.561096°,-122.251736° ,±52ft,22.039246,WGS 84,Bearing: 324° NW,Test 1,At hone,Your Watermark - See Settings
Test 1 (2020-01-26 14.56.12)-53,26 Jan 2020,14:56:12,23,47.561127°,-122.251737° ,±52ft,21.973280,WGS 84,Bearing: 23° NE,Test 1,At hone,Your Watermark - See Settings
Test 1 (2020-01-26 14.57.30)-22,26 Jan 2020,14:57:30,38,47.561059°,-122.251653° ,±52ft,22.623482,WGS 84,Bearing: 38° NE,Test 1,At hone,Your Watermark - See Settings
Test 1 (2020-01-26 15.00.00)-31,26 Jan 2020,15:00:0,350,47.560852°,-122.250917° ,±26ft,23.537437,WGS 84,Bearing: 350° N,Test 1,At hone,Your Watermark - See Settings
Test 1 (2020-01-26 15.00.04)-11,26 Jan 2020,15:00:4,74,47.560839°,-122.250913° ,±26ft,23.692211,WGS 84,Bearing: 74° E,Test 1,At hone,Your Watermark - See Settings
Test 1 (2020-01-26 15.00.17)-59,26 Jan 2020,15:00:17,219,47.560945°,-122.250929° ,±26ft,22.797522,WGS 84,Bearing: 219° SW,Test 1,At hone,Your Watermark - See Settings
Test 1 (2020-01-26 15.00.25)-16,26 Jan 2020,15:00:25,108,47.560925°,-122.250956° ,±26ft,23.179575,WGS 84,Bearing: 108° E,Test 1,At hone,Your Watermark - See Settings
Test 1 (2020-01-26 15.00.49)-42,26 Jan 2020,15:00:49,54,47.560844°,-122.250980° ,±26ft,24.232229,WGS 84,Bearing: 54° NE,Test 1,At hone,Your Watermark - See Settings
Test 1 (2020-01-26 15.01.19)-6,26 Jan 2020,15:01:19,35,47.560727°,-122.251137° ,±26ft,26.019302,WGS 84,Bearing: 35° NE,Test 1,At hone,Your Watermark - See Settings
Test 1 (2020-01-26 15.07.41)-87,26 Jan 2020,15:07:41,99,47.560783°,-122.250595° ,±157ft,20.006853,WGS 84,Bearing: 99° E,Test 1,At hone,Your Watermark - See Settings
