Latitude	Longitude	Elevation
47.52628000	-122.005400	176.0
47.52630000	-122.005470	176.0
47.52631000	-122.005530	176.0
47.52631000	-122.005580	177.0
47.52629000	-122.005560	177.0
47.52629000	-122.005610	177.0
47.52628000	-122.005650	177.0
47.52627000	-122.005700	177.0
47.52627000	-122.005750	177.0
47.52628000	-122.005790	177.0
47.52628000	-122.005850	178.0
47.52628000	-122.005910	178.0
47.52628000	-122.005960	178.0
47.52628000	-122.006000	178.0
47.52627000	-122.006040	178.0
47.52626000	-122.006090	178.0
47.52624000	-122.006120	177.0
47.52622000	-122.006160	177.0
47.52620000	-122.006200	177.0
47.52619000	-122.006240	177.0
47.52617000	-122.006290	177.0
47.52615000	-122.006330	177.0
47.52612000	-122.006360	177.0
47.52610000	-122.006400	177.0
47.52608000	-122.006450	177.0
47.52607000	-122.006500	177.0
47.52605000	-122.006530	177.0
47.52602000	-122.006570	178.0
47.52599000	-122.006600	178.0
47.52596000	-122.006640	178.0
47.52594000	-122.006670	179.0
47.52591000	-122.006690	179.0
47.52588000	-122.006710	180.0
47.52584000	-122.006730	180.0
47.52581000	-122.006760	181.0
47.52579000	-122.006790	181.0
47.52577000	-122.006820	182.0
47.52575000	-122.006860	182.0
47.52575000	-122.006910	183.0
47.52574000	-122.006960	183.0
47.52574000	-122.007010	184.0
47.52572000	-122.007050	185.0
47.52571000	-122.007090	185.0
47.52569000	-122.007140	186.0
47.52567000	-122.007160	186.0
47.52563000	-122.007180	186.0
47.52560000	-122.007180	186.0
47.52556000	-122.007180	186.0
47.52553000	-122.007190	186.0
47.52551000	-122.007220	186.0
47.52549000	-122.007250	186.0
47.52547000	-122.007300	186.0
47.52544000	-122.007350	186.0
47.52543000	-122.007400	186.0
47.52540000	-122.007440	186.0
47.52538000	-122.007480	186.0
47.52537000	-122.007510	186.0
47.52534000	-122.007540	186.0
47.52532000	-122.007570	186.0
47.52530000	-122.007610	186.0
47.52527000	-122.007650	185.0
47.52525000	-122.007680	185.0
47.52523000	-122.007710	185.0
47.52521000	-122.007740	185.0
47.52518000	-122.007760	184.0
47.52516000	-122.007800	184.0
47.52514000	-122.007830	184.0
47.52510000	-122.007850	184.0
47.52507000	-122.007870	183.0
47.52505000	-122.007890	183.0
47.52502000	-122.007920	183.0
47.52499000	-122.007950	182.0
47.52496000	-122.007980	182.0
47.52494000	-122.008010	182.0
47.52491000	-122.008040	182.0
47.52489000	-122.008070	181.0
47.52487000	-122.008100	181.0
47.52484000	-122.008120	181.0
47.52482000	-122.008160	181.0
47.52480000	-122.008190	180.0
47.52478000	-122.008230	180.0
47.52476000	-122.008270	180.0
47.52473000	-122.008300	180.0
47.52473000	-122.008350	180.0
47.52473000	-122.008390	180.0
47.52473000	-122.008450	180.0
47.52473000	-122.008500	180.0
47.52473000	-122.008540	180.0
47.52472000	-122.008590	179.0
47.52472000	-122.008630	179.0
47.52471000	-122.008680	179.0
47.52470000	-122.008720	178.0
47.52468000	-122.008760	177.0
47.52467000	-122.008820	177.0
47.52465000	-122.008880	176.0
47.52463000	-122.008930	175.0
47.52462000	-122.008970	174.0
47.52462000	-122.009020	173.0
47.52462000	-122.009060	172.0
47.52463000	-122.009110	171.0
47.52464000	-122.009150	170.0
47.52465000	-122.009190	169.0
47.52466000	-122.009240	168.0
47.52467000	-122.009300	167.0
47.52467000	-122.009360	165.0
47.52466000	-122.009410	165.0
47.52466000	-122.009460	164.0
47.52465000	-122.009510	163.0
47.52465000	-122.009550	162.0
47.52463000	-122.009610	162.0
47.52462000	-122.009650	161.0
47.52461000	-122.009680	161.0
47.52460000	-122.009720	160.0
47.52458000	-122.009770	160.0
47.52457000	-122.009820	159.0
47.52456000	-122.009860	159.0
47.52454000	-122.009920	158.0
47.52453000	-122.009960	158.0
47.52451000	-122.010000	157.0
47.52450000	-122.010040	157.0
47.52448000	-122.010080	157.0
47.52446000	-122.010120	157.0
47.52444000	-122.010160	156.0
47.52443000	-122.010200	156.0
47.52442000	-122.010250	156.0
47.52441000	-122.010290	156.0
47.52441000	-122.010340	156.0
47.52441000	-122.010390	156.0
47.52439000	-122.010420	156.0
47.52435000	-122.010440	156.0
47.52432000	-122.010450	157.0
47.52429000	-122.010460	157.0
47.52426000	-122.010480	157.0
47.52423000	-122.010500	158.0
47.52419000	-122.010520	158.0
47.52416000	-122.010540	159.0
47.52413000	-122.010550	159.0
47.52410000	-122.010570	159.0
47.52408000	-122.010580	159.0
47.52405000	-122.010600	159.0
47.52403000	-122.010620	159.0
47.52400000	-122.010640	159.0
47.52397000	-122.010660	160.0
47.52394000	-122.010680	160.0
47.52391000	-122.010700	160.0
47.52389000	-122.010730	160.0
47.52386000	-122.010750	160.0
47.52386000	-122.010790	160.0
47.52383000	-122.010800	160.0
47.52380000	-122.010810	160.0
47.52376000	-122.010830	159.0
47.52373000	-122.010860	159.0
47.52369000	-122.010880	159.0
47.52367000	-122.010890	159.0
47.52362000	-122.010930	159.0
47.52360000	-122.010950	160.0
47.52357000	-122.010980	160.0
47.52354000	-122.011000	160.0
47.52352000	-122.011020	160.0
47.52349000	-122.011040	160.0
47.52346000	-122.011070	160.0
47.52343000	-122.011090	160.0
47.52340000	-122.011110	160.0
47.52337000	-122.011130	160.0
47.52334000	-122.011140	160.0
47.52331000	-122.011150	160.0
47.52328000	-122.011170	160.0
47.52325000	-122.011180	160.0
47.52322000	-122.011190	160.0
47.52319000	-122.011200	160.0
47.52316000	-122.011220	160.0
47.52312000	-122.011240	160.0
47.52310000	-122.011260	160.0
47.52307000	-122.011280	160.0
47.52303000	-122.011300	160.0
47.52300000	-122.011320	160.0
47.52297000	-122.011340	160.0
47.52293000	-122.011360	160.0
47.52290000	-122.011380	159.0
47.52287000	-122.011400	160.0
47.52284000	-122.011420	160.0
47.52281000	-122.011420	160.0
47.52278000	-122.011430	160.0
47.52274000	-122.011430	160.0
47.52271000	-122.011440	160.0
47.52268000	-122.011440	160.0
47.52265000	-122.011440	159.0
47.52262000	-122.011450	160.0
47.52259000	-122.011460	160.0
47.52255000	-122.011470	159.0
47.52252000	-122.011500	160.0
47.52248000	-122.011510	160.0
47.52244000	-122.011530	159.0
47.52241000	-122.011560	159.0
47.52237000	-122.011590	159.0
47.52235000	-122.011620	159.0
47.52232000	-122.011650	159.0
47.52229000	-122.011660	159.0
47.52225000	-122.011680	159.0
47.52222000	-122.011700	159.0
47.52218000	-122.011730	158.0
47.52216000	-122.011760	158.0
47.52213000	-122.011770	158.0
47.52210000	-122.011800	158.0
47.52208000	-122.011820	157.0
47.52205000	-122.011840	157.0
47.52202000	-122.011870	157.0
47.52199000	-122.011890	156.0
47.52196000	-122.011900	155.0
47.52193000	-122.011920	155.0
47.52189000	-122.011930	155.0
47.52186000	-122.011940	155.0
47.52183000	-122.011940	155.0
47.52180000	-122.011940	155.0
47.52177000	-122.011960	155.0
47.52174000	-122.011970	155.0
47.52171000	-122.011990	156.0
47.52169000	-122.012000	156.0
47.52165000	-122.012030	156.0
47.52163000	-122.012050	157.0
47.52160000	-122.012070	157.0
47.52157000	-122.012090	157.0
47.52154000	-122.012100	158.0
47.52151000	-122.012110	158.0
47.52148000	-122.012120	158.0
47.52145000	-122.012120	158.0
47.52142000	-122.012130	158.0
47.52139000	-122.012120	157.0
47.52135000	-122.012110	157.0
47.52132000	-122.012100	157.0
47.52129000	-122.012110	157.0
47.52125000	-122.012110	157.0
47.52121000	-122.012120	157.0
47.52118000	-122.012130	158.0
47.52115000	-122.012140	158.0
47.52112000	-122.012150	158.0
47.52109000	-122.012150	158.0
47.52106000	-122.012180	158.0
47.52103000	-122.012200	158.0
47.52099000	-122.012230	158.0
47.52096000	-122.012250	159.0
47.52093000	-122.012280	159.0
47.52090000	-122.012290	159.0
47.52086000	-122.012310	159.0
47.52084000	-122.012330	159.0
47.52080000	-122.012340	159.0
47.52077000	-122.012340	159.0
47.52074000	-122.012340	159.0
47.52070000	-122.012320	158.0
47.52067000	-122.012290	158.0
47.52064000	-122.012280	158.0
47.52061000	-122.012260	158.0
47.52058000	-122.012230	159.0
47.52055000	-122.012200	159.0
47.52053000	-122.012170	159.0
# new track		
47.52043000	-122.011990	160.0
47.52042000	-122.011940	161.0
47.52041000	-122.011900	161.0
47.52040000	-122.011860	162.0
47.52038000	-122.011830	162.0
47.52035000	-122.011850	162.0
47.52035000	-122.011890	161.0
47.52036000	-122.011860	161.0
47.52039000	-122.011840	162.0
47.52039000	-122.011890	161.0
47.52037000	-122.011860	161.0
47.52034000	-122.011830	162.0
47.52033000	-122.011790	163.0
47.52032000	-122.011740	164.0
47.52031000	-122.011700	165.0
47.52030000	-122.011660	166.0
47.52029000	-122.011630	166.0
47.52026000	-122.011600	167.0
47.52023000	-122.011620	167.0
47.52020000	-122.011610	167.0
47.52016000	-122.011590	168.0
47.52013000	-122.011570	169.0
47.52010000	-122.011560	170.0
47.52007000	-122.011530	171.0
47.52003000	-122.011510	173.0
47.52002000	-122.011540	172.0
47.52001000	-122.011580	170.0
47.51998000	-122.011570	171.0
47.51995000	-122.011540	173.0
47.51995000	-122.011500	174.0
47.51994000	-122.011460	176.0
47.51991000	-122.011440	177.0
47.51987000	-122.011410	179.0
47.51984000	-122.011380	181.0
47.51981000	-122.011360	182.0
47.51978000	-122.011350	183.0
47.51975000	-122.011320	184.0
47.51972000	-122.011300	186.0
47.51969000	-122.011290	187.0
47.51965000	-122.011270	188.0
47.51961000	-122.011250	189.0
47.51957000	-122.011240	191.0
47.51954000	-122.011240	191.0
47.51950000	-122.011240	192.0
47.51947000	-122.011240	192.0
47.51944000	-122.011230	193.0
47.51940000	-122.011200	195.0
47.51937000	-122.011190	196.0
47.51934000	-122.011180	198.0
47.51931000	-122.011170	199.0
47.51926000	-122.011160	200.0
47.51922000	-122.011150	201.0
47.51918000	-122.011140	202.0
47.51914000	-122.011120	204.0
47.51910000	-122.011110	206.0
47.51907000	-122.011110	207.0
47.51902000	-122.011100	209.0
47.51899000	-122.011080	210.0
47.51895000	-122.011060	212.0
47.51892000	-122.011040	213.0
47.51888000	-122.011020	215.0
47.51885000	-122.011010	216.0
47.51881000	-122.010990	217.0
47.51877000	-122.010980	218.0
47.51874000	-122.010960	219.0
47.51870000	-122.010950	221.0
47.51865000	-122.010960	222.0
47.51861000	-122.010970	223.0
47.51858000	-122.010990	223.0
47.51854000	-122.011020	224.0
47.51851000	-122.011050	224.0
47.51846000	-122.011070	225.0
47.51842000	-122.011090	225.0
47.51839000	-122.011130	225.0
47.51836000	-122.011160	226.0
47.51832000	-122.011200	226.0
47.51830000	-122.011250	225.0
47.51828000	-122.011300	225.0
47.51824000	-122.011340	224.0
47.51821000	-122.011400	223.0
47.51819000	-122.011450	223.0
47.51816000	-122.011490	222.0
47.51812000	-122.011530	222.0
47.51809000	-122.011580	222.0
47.51805000	-122.011600	222.0
47.51801000	-122.011580	223.0
47.51797000	-122.011550	224.0
47.51794000	-122.011530	225.0
47.51790000	-122.011510	226.0
47.51785000	-122.011500	228.0
47.51781000	-122.011500	228.0
47.51777000	-122.011480	230.0
47.51773000	-122.011460	231.0
47.51769000	-122.011450	232.0
47.51765000	-122.011430	234.0
47.51761000	-122.011420	235.0
47.51757000	-122.011410	236.0
47.51753000	-122.011400	238.0
47.51749000	-122.011380	239.0
47.51744000	-122.011360	241.0
47.51740000	-122.011350	242.0
47.51736000	-122.011350	242.0
47.51732000	-122.011340	244.0
47.51728000	-122.011330	245.0
47.51724000	-122.011310	246.0
47.51721000	-122.011300	247.0
47.51717000	-122.011280	249.0
47.51713000	-122.011270	250.0
47.51709000	-122.011270	250.0
47.51704000	-122.011280	251.0
47.51701000	-122.011270	252.0
47.51696000	-122.011270	253.0
47.51692000	-122.011250	254.0
47.51697000	-122.011250	253.0
47.51700000	-122.011240	253.0
47.51702000	-122.011270	252.0
47.51701000	-122.011230	253.0
47.51699000	-122.011250	253.0
47.51696000	-122.011260	253.0
47.51693000	-122.011270	253.0
47.51690000	-122.011280	253.0
47.51687000	-122.011280	253.0
47.51684000	-122.011290	253.0
47.51681000	-122.011290	253.0
47.51678000	-122.011290	253.0
47.51676000	-122.011260	254.0
47.51673000	-122.011250	255.0
47.51669000	-122.011240	255.0
47.51666000	-122.011230	256.0
47.51663000	-122.011210	257.0
47.51659000	-122.011210	257.0
47.51656000	-122.011210	257.0
47.51652000	-122.011200	257.0
47.51650000	-122.011180	258.0
47.51647000	-122.011160	258.0
47.51644000	-122.011150	259.0
47.51642000	-122.011130	259.0
47.51640000	-122.011100	260.0
47.51637000	-122.011090	260.0
47.51634000	-122.011090	260.0
47.51631000	-122.011070	261.0
47.51629000	-122.011050	262.0
47.51626000	-122.011020	263.0
47.51623000	-122.011010	263.0
